"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
30.01.26;13:50:35;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:54:59;P700-Cal.;SK;S_260130_135459; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:55:15;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:55:15;Manual;SK;S_260130_135515; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:55:16;Fo-Det.;Fo;;n.c.;0;;0.0000;0.2426;;;;;;;;;;;;;;;;;;;;;;
30.01.26;13:55:16;Fm-Det.;SP;F_260130_135516_0;n.c.;0;;0.0000;0.2426;1.2347;;0.2408;0.804;;;0.000;0.196;0.000;0.000;0.000;1.000;1.000;0.195;1.000;0.145;2.669;;;;;
30.01.26;13:55:26;Pm.-Det.;SP;F_260130_135526_0;n.c.;0;;0.0000;0.2415;1.2069;;0.2790;0.769;;;0.000;0.226;0.005;0.023;0.027;0.961;0.832;0.226;0.978;3.685;4.263;0.136;0.864;0.000;0.000;
30.01.26;13:56:00;P.+F. SP;SP;F_260130_135600_0;n.c.;26;;0.0000;0.2031;0.6212;;0.3925;0.368;;;4.021;0.318;0.314;0.988;0.579;0.547;0.283;0.318;0.503;0.169;3.141;0.697;0.040;0.263;7.611;
30.01.26;13:56:30;P.+F. SP;SP;F_260130_135630_0;n.c.;36;;0.0000;0.1933;0.5372;;0.3209;0.403;;;6.087;0.260;0.337;1.299;0.653;0.629;0.379;0.260;0.435;0.289;3.274;0.700;0.068;0.232;10.588;
30.01.26;13:57:00;P.+F. SP;SP;F_260130_135700_0;n.c.;49;;0.0000;0.1911;0.5209;;0.2961;0.431;;;8.879;0.240;0.329;1.371;0.668;0.681;0.440;0.240;0.422;0.375;3.300;0.686;0.088;0.226;14.119;
30.01.26;13:57:30;P.+F. SP;SP;F_260130_135730_0;n.c.;100;;0.0000;0.1857;0.4824;;0.3249;0.326;;;13.713;0.263;0.410;1.560;0.701;0.531;0.303;0.263;0.391;1.243;3.791;0.598;0.292;0.111;25.104;
30.01.26;13:58:00;P.+F. SP;SP;F_260130_135800_0;n.c.;172;;0.0000;0.1821;0.4589;;0.3651;0.204;;;14.756;0.296;0.500;1.691;0.721;0.339;0.169;0.296;0.372;2.232;3.943;0.401;0.523;0.075;28.998;
30.01.26;13:58:30;P.+F. SP;SP;F_260130_135830_0;n.c.;228;;0.0000;0.1801;0.4467;;0.3781;0.154;;;14.709;0.306;0.540;1.764;0.731;0.257;0.123;0.306;0.362;2.614;3.942;0.312;0.613;0.075;29.835;
30.01.26;13:59:00;P.+F. SP;SP;F_260130_135900_0;n.c.;384;;0.0000;0.1792;0.4408;;0.4037;0.084;;;13.586;0.327;0.589;1.801;0.736;0.142;0.063;0.327;0.357;3.158;3.967;0.190;0.741;0.069;30.622;
30.01.26;13:59:30;P.+F. SP;SP;F_260130_135930_0;n.c.;601;;0.0000;0.1777;0.4323;;0.4111;0.049;;;12.392;0.333;0.618;1.856;0.743;0.083;0.036;0.333;0.350;3.487;3.997;0.119;0.818;0.063;30.163;
30.01.26;14:00:00;P.+F. SP;SP;F_260130_140000_0;n.c.;933;;0.0000;0.1782;0.4350;;0.4221;0.030;;;11.599;0.342;0.629;1.838;0.741;0.050;0.021;0.342;0.352;3.711;4.042;0.077;0.871;0.052;30.357;
30.01.26;14:00:30;P.+F. SP;SP;F_260130_140030_0;n.c.;1440;;0.0000;0.1779;0.4330;;0.4257;0.017;;;10.192;0.345;0.638;1.851;0.743;0.029;0.012;0.345;0.351;3.849;4.022;0.041;0.903;0.057;24.585;
30.01.26;14:01:00;P.+F. SP;SP;F_260130_140100_0;n.c.;1783;;0.0000;0.1774;0.4301;;0.4253;0.011;;;8.353;0.344;0.644;1.871;0.745;0.019;0.008;0.344;0.348;3.888;4.027;0.033;0.912;0.055;24.479;
30.01.26;14:01:30;P.+F. SP;SP;F_260130_140130_0;n.c.;2219;;0.0000;0.1770;0.4276;;0.4238;0.009;;;8.422;0.343;0.648;1.887;0.747;0.015;0.006;0.343;0.346;3.956;4.078;0.029;0.928;0.043;26.627;
30.01.26;14:02:00;P.+F. SP;SP;F_260130_140200_0;n.c.;2737;;0.0000;0.1764;0.4245;;0.4220;0.006;;;6.924;0.342;0.652;1.908;0.750;0.010;0.004;0.342;0.344;3.978;4.057;0.019;0.933;0.048;21.304;
30.01.26;14:02:30;P.+F. SP;SP;F_260130_140230_0;n.c.;3335;;0.0000;0.1758;0.4212;;0.4195;0.004;;;5.665;0.340;0.656;1.932;0.753;0.007;0.003;0.340;0.341;3.992;4.041;0.011;0.936;0.052;16.081;
30.01.26;14:02:33;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
