"par","yield_1","yield_2","etr_1","etr_2"
0,0.448,0.476,0,0
39,0.765,0.281,12.5307,4.60278
49,0.778,0.277,16.01124,5.70066
62,0.742,0.276,19.32168,7.18704
113,0.747,0.236,35.45262,11.20056
185,0.744,0.197,57.8088,15.3069
241,0.686,0.167,69.43692,16.90374
397,0.529,0.11,88.20546,18.3414
614,0.366,0.074,94.38408,19.08312
946,0.169,0.049,67.14708,19.46868
1453,0.204,0.029,124.49304,17.69754
1796,0.144,0.023,108.62208,17.34936
2232,0.09,0.015,84.3696,14.0616
2750,0.083,0.012,95.865,13.86
